	mass A		
t	x	y	
0.000000E0	1.468426E-1	-1.011972E-2
3.331913E-2	1.466332E-1	-1.092821E-2
6.663825E-2	1.476810E-1	-2.063741E-2
9.995738E-2	1.410659E-1	-3.027478E-2
1.332765E-1	1.784268E-1	-2.261090E-2
1.665956E-1	2.267811E-1	-5.508837E-2
1.999148E-1	2.590045E-1	-1.145564E-1
2.332339E-1	2.471807E-1	-2.088174E-1
2.665530E-1	2.089123E-1	-2.849214E-1
2.998721E-1	1.296522E-1	-3.672185E-1
3.331913E-1	1.685104E-1	-4.371974E-1
3.665104E-1	3.990739E-1	-4.275177E-1
3.998295E-1	8.085551E-1	-3.529522E-1
4.331486E-1	1.189058E0	-2.663958E-1
4.664678E-1	1.247692E0	-2.517771E-1
4.997869E-1	9.618552E-1	-2.585162E-1
5.331060E-1	4.753662E-1	-1.821006E-1
5.664252E-1	-1.875727E-1	-1.314374E-1
5.997443E-1	-6.653330E-1	-1.165263E-1
6.330634E-1	-6.984730E-1	-1.761384E-1
6.663825E-1	-5.697278E-1	-1.817854E-1
6.997017E-1	-5.204749E-1	-2.307876E-1
7.330208E-1	-4.230142E-1	-2.719923E-1
7.663399E-1	-2.969525E-1	-3.201547E-1
7.996590E-1	-1.308025E-1	-3.700028E-1
8.329782E-1	9.496682E-2	-3.981805E-1
8.662973E-1	2.693539E-1	-3.871880E-1
8.996164E-1	5.330187E-1	-3.312796E-1
9.329355E-1	9.246567E-1	-2.748669E-1
9.662547E-1	1.089579E0	-2.809087E-1
9.995738E-1	8.038924E-1	-2.869427E-1
1.032893E0	3.158288E-1	-2.673427E-1
1.066212E0	-2.921770E-1	-2.176343E-1
1.099531E0	-8.214861E-1	-2.246408E-1
1.132850E0	-8.761186E-1	-2.848738E-1
1.166169E0	-7.335889E-1	-2.769342E-1
1.199489E0	-6.473588E-1	-2.976647E-1
1.232808E0	-5.811888E-1	-3.410469E-1
1.266127E0	-4.955479E-1	-4.071362E-1
1.299446E0	-3.717904E-1	-4.632502E-1
1.332765E0	-1.827931E-1	-4.981735E-1
1.366084E0	2.283191E-2	-4.958536E-1
1.399403E0	2.989403E-1	-4.393462E-1
1.432722E0	6.868500E-1	-3.516053E-1
1.466042E0	8.436227E-1	-3.383901E-1
1.499361E0	5.857261E-1	-3.582907E-1
1.532680E0	1.485195E-1	-3.242384E-1
1.565999E0	-4.719141E-1	-2.905327E-1
1.599318E0	-9.575493E-1	-2.752203E-1
1.632637E0	-1.008536E0	-3.363718E-1
1.665956E0	-8.978336E-1	-3.304946E-1
1.699275E0	-7.873304E-1	-3.577474E-1
1.732595E0	-6.841565E-1	-4.064526E-1
1.765914E0	-5.657768E-1	-4.722938E-1
1.799233E0	-3.873437E-1	-5.300246E-1
1.832552E0	-1.668861E-1	-5.559347E-1
1.865871E0	2.224437E-2	-5.423673E-1
